news_id	key_word	start_date	end_date	news_author
279353	COMPUTER US	2016/10/25 0:00	2016/10/28 0:00	Anne Steele
88429	NAVISTAR INTERNATIONAL	2014/12/16 0:00	2014/12/19 0:00	Bob Tita
266347	ROGERS	2013/10/29 0:00	2013/11/1 0:00	Gilles Castonguay
262676	DANAHER	2014/4/16 0:00	2014/4/19 0:00	Anna Prior
91039	OCCIDENTAL	2015/10/28 0:00	2015/10/31 0:00	"Chelsey Dulaney, Lynn Cook"
285493	COMCAST	2017/1/26 0:00	2017/1/29 0:00	Shalini Ramachandran
383920	HERSHEY CO	2016/10/28 0:00	2016/10/31 0:00	Annie Gasparro
412495	NAVISTAR INTERNATIONAL	2016/12/20 0:00	2016/12/23 0:00	Bob Tita
244644	US	2013/7/17 0:00	2013/7/20 0:00	"Bob Tita, Kate Linebaugh"
135975	ACTIVISION BLIZZARD	2014/5/6 0:00	2014/5/9 0:00	Ian Sherr
397680	HERSHEY CO	2014/10/29 0:00	2014/11/1 0:00	"Annie Gasparro, Erin McCarthy"
107365	MERCK & CO	2014/10/27 0:00	2014/10/30 0:00	Christopher Alessi
250920	3M CO	2013/7/25 0:00	2013/7/28 0:00	"Kate Linebaugh, Scott Thurm"
318118	ABBOTT LABORATORIES	2014/1/22 0:00	2014/1/25 0:00	Joseph Walker
303042	MICHAELS	2014/11/20 0:00	2014/11/23 0:00	Angela Chen
252066	STATE STREET	2015/10/23 0:00	2015/10/26 0:00	Tess Stynes
193651	NORDSTROM	2016/5/12 0:00	2016/5/15 0:00	Suzanne Kapner
266669	CARMAX	2016/4/7 0:00	2016/4/10 0:00	Anne Steele
112384	TIME US	2015/8/4 0:00	2015/8/7 0:00	"Chelsey Dulaney, Joe Flint"
270415	NEWS	2017/5/9 0:00	2017/5/12 0:00	Rory Gallivan
333047	CUSTOMERS	2016/1/20 0:00	2016/1/23 0:00	Ted Mann
109658	PACKAGING	2015/4/20 0:00	2015/4/23 0:00	Chelsey Dulaney
320387	BIG LOTS	2015/12/4 0:00	2015/12/7 0:00	Anne Steele
307687	COMMERCE	2016/4/13 0:00	2016/4/16 0:00	Saabira Chaudhuri
203731	FIRST	2013/10/23 0:00	2013/10/26 0:00	John Kell
323631	UNITED AIRLINES	2015/7/23 0:00	2015/7/26 0:00	"Angela Chen, Susan Carey"
280920	HIGHER ONE	2015/10/27 0:00	2015/10/30 0:00	Tess Stynes
266810	CAPITAL ONE FINANCIAL	2014/10/16 0:00	2014/10/19 0:00	Ted Mann
380374	BOEING CO	2017/1/25 0:00	2017/1/28 0:00	Austen Hufford
143058	HOME	2017/4/20 0:00	2017/4/23 0:00	Saabira Chaudhuri
304319	REGIONS FINANCIAL	2014/7/22 0:00	2014/7/25 0:00	"Erin McCarthy, Ted Mann"
302978	CSX	2014/4/15 0:00	2014/4/18 0:00	Tess Stynes
340693	GENUINE PARTS	2015/2/17 0:00	2015/2/20 0:00	Tess Stynes
304633	AT&T	2016/4/26 0:00	2016/4/29 0:00	Lisa Beilfuss
266930	NEW YORK TIMES	2015/2/3 0:00	2015/2/6 0:00	Ben Fritz
265639	TEXAS CAPITAL	2014/10/22 0:00	2014/10/25 0:00	"Chelsey Dulaney, Daniel Gilbert"
266967	BOSTON BEER	2015/4/29 0:00	2015/5/2 0:00	Angela Chen
371651	AMERICAN CAPITAL	2013/7/30 0:00	2013/8/2 0:00	Simon Zekaria
261826	PITNEY/BOWES	2014/1/30 0:00	2014/2/2 0:00	Michael Calia
267061	GREEN PLAINS	2013/7/30 0:00	2013/8/2 0:00	"Enda Curran, Ross Kelly"
260797	S & T	2013/4/23 0:00	2013/4/26 0:00	Evelyn M. Rusli
383264	S & T	2013/1/29 0:00	2013/2/1 0:00	Judy McKinnon
319129	S & T IN	2016/4/21 0:00	2016/4/24 0:00	Ezequiel Minaya
